  0     0.000000     0.000000     0.000000   0
  1     0.599021     0.000225    -0.000236   1
  2     1.200996     0.000143     0.000276   2
  3     1.780846     0.000392     0.000987   3
  4     2.329344     0.000132    -0.000417   4
  5     2.857812    -0.000092     0.004697   5
  6     3.384044     0.158842    -0.912891   6
  7     3.905077     1.041104    -2.273832   7
  8     4.424812     1.689892     0.000162   8
  9     4.771485     1.253069     2.672147   9
 10     5.118218     0.090880     3.458140  10
 11     5.464782    -0.787730     1.552398  11
 12     5.813078    -1.053435     0.204769  12
 13     6.161656    -1.061448    -0.003851  13
 14     6.508607    -1.061118    -0.003454  14
 15     6.856290    -1.061363     0.001084  15
 16     7.204014    -0.983547     0.000000  16
