  0     0.000000     0.000000     0.000000   0
  1     0.196065     0.000139    -0.021258   1
  2     0.386981     0.019215    -0.270535   2
  3     0.579782     0.107335    -0.667278   3
  4     0.767539     0.272631    -1.137024   4
  5     0.962688     0.551857    -1.754884   5
  6     1.156358     0.935740    -2.140302   6
  7     1.351549     1.332348    -1.800804   7
  8     1.544556     1.598896    -0.943668   8
  9     1.734329     1.690592    -0.000652   9
 10     2.018347     1.406643     2.154367  10
 11     2.304006     0.538986     3.606615  11
 12     2.588811    -0.394404     2.670371  12
 13     2.896908    -0.927773     0.964338  13
 14     3.204825    -1.059901     0.051072  14
 15     3.535167    -1.060981    -0.008861  15
 16     3.844028    -0.983547     0.000000  16
